,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
119,"Hollywood, Florida",Italian Restaurant,American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,Seafood Restaurant,Sushi Restaurant,Café,Donut Shop,Steakhouse,Deli / Bodega,Fast Food Restaurant,Burger Joint,New American Restaurant,Greek Restaurant,Latin American Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Peruvian Restaurant,Chinese Restaurant,South American Restaurant,Gastropub,Bakery,Vegetarian / Vegan Restaurant,Food Truck
120,"Honolulu, Hawaii",Japanese Restaurant,Café,Hawaiian Restaurant,Bakery,Diner,Noodle House,Steakhouse,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,Breakfast Spot,French Restaurant,Korean Restaurant,New American Restaurant,Gastropub,Pizza Place,Chinese Restaurant,Food Truck,Food Court,Mediterranean Restaurant,Middle Eastern Restaurant,Hotpot Restaurant,Hot Dog Joint,Food,Irish Pub
121,"Houston, Texas",Mexican Restaurant,Burger Joint,Pizza Place,Café,American Restaurant,New American Restaurant,Taco Place,Italian Restaurant,Steakhouse,Vietnamese Restaurant,Food Truck,Seafood Restaurant,Sushi Restaurant,Fast Food Restaurant,BBQ Joint,French Restaurant,Japanese Restaurant,Deli / Bodega,Sandwich Place,Mediterranean Restaurant,Greek Restaurant,Chinese Restaurant,Salad Place,Noodle House,Cajun / Creole Restaurant
122,"Huntington Beach, California",Mexican Restaurant,American Restaurant,Seafood Restaurant,Bakery,Burger Joint,Italian Restaurant,Pizza Place,Steakhouse,Vegetarian / Vegan Restaurant,Sushi Restaurant,Korean Restaurant,Fast Food Restaurant,Café,Sandwich Place,French Restaurant,Donut Shop,Japanese Restaurant,Mediterranean Restaurant,Deli / Bodega,Salad Place,Food Court,Latin American Restaurant,Chinese Restaurant,Cuban Restaurant,New American Restaurant
123,"Huntsville, Alabama",Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,BBQ Joint,Vietnamese Restaurant,Food Truck,Steakhouse,Sandwich Place,Sushi Restaurant,Thai Restaurant,Bakery,Fried Chicken Joint,Japanese Restaurant,Café,Cajun / Creole Restaurant,Noodle House,Italian Restaurant,Fast Food Restaurant,German Restaurant,Greek Restaurant,Diner,Mediterranean Restaurant,Salad Place,New American Restaurant
124,"Independence, Missouri",American Restaurant,Pizza Place,Sandwich Place,BBQ Joint,Breakfast Spot,Italian Restaurant,Steakhouse,Bakery,Burger Joint,Gastropub,Seafood Restaurant,Sushi Restaurant,Mexican Restaurant,Café,New American Restaurant,Tapas Restaurant,Thai Restaurant,Fried Chicken Joint,Vietnamese Restaurant,Scandinavian Restaurant,Noodle House,Donut Shop,Ethiopian Restaurant,Deli / Bodega,Vegetarian / Vegan Restaurant
125,"Indianapolis, Indiana",American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,New American Restaurant,Breakfast Spot,Café,Italian Restaurant,Bakery,Steakhouse,Vietnamese Restaurant,Burger Joint,Deli / Bodega,Cajun / Creole Restaurant,Southern / Soul Food Restaurant,Soup Place,Diner,Seafood Restaurant,Latin American Restaurant,Food Court,Mediterranean Restaurant,Fast Food Restaurant,Middle Eastern Restaurant,Donut Shop,Churrascaria
126,"Inglewood, California",Italian Restaurant,Mexican Restaurant,American Restaurant,Sushi Restaurant,New American Restaurant,Café,Korean Restaurant,Seafood Restaurant,French Restaurant,Pizza Place,Burger Joint,Deli / Bodega,Steakhouse,Japanese Restaurant,Donut Shop,Food Truck,Mediterranean Restaurant,Fried Chicken Joint,Vegetarian / Vegan Restaurant,Australian Restaurant,Sandwich Place,German Restaurant,Ethiopian Restaurant,Filipino Restaurant,Fast Food Restaurant
127,"Irvine, California",Mexican Restaurant,American Restaurant,Seafood Restaurant,Sandwich Place,Pizza Place,Bakery,Burger Joint,Italian Restaurant,New American Restaurant,Café,Vegetarian / Vegan Restaurant,Donut Shop,Fast Food Restaurant,Korean Restaurant,Deli / Bodega,Sushi Restaurant,Steakhouse,French Restaurant,Tapas Restaurant,Asian Restaurant,Taco Place,BBQ Joint,Mediterranean Restaurant,Latin American Restaurant,Salad Place
128,"Irving, Texas",American Restaurant,Mexican Restaurant,Seafood Restaurant,Steakhouse,Burger Joint,Pizza Place,BBQ Joint,Fast Food Restaurant,Taco Place,New American Restaurant,Greek Restaurant,Tex-Mex Restaurant,Southern / Soul Food Restaurant,Café,Fried Chicken Joint,Japanese Restaurant,Bakery,Latin American Restaurant,Italian Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Salad Place,Sandwich Place,Korean Restaurant,Diner
129,"Jackson, Mississippi",American Restaurant,Pizza Place,Sandwich Place,Seafood Restaurant,Southern / Soul Food Restaurant,Japanese Restaurant,Burger Joint,Greek Restaurant,Steakhouse,Fast Food Restaurant,Café,Italian Restaurant,Sushi Restaurant,Deli / Bodega,Mediterranean Restaurant,Chinese Restaurant,New American Restaurant,Asian Restaurant,BBQ Joint,French Restaurant,Thai Restaurant,Donut Shop,Mexican Restaurant,Indian Restaurant,Comfort Food Restaurant
130,"Jacksonville, Florida",Sandwich Place,American Restaurant,Pizza Place,Breakfast Spot,Sushi Restaurant,BBQ Joint,Café,Mexican Restaurant,Fast Food Restaurant,Deli / Bodega,Thai Restaurant,Bakery,Burrito Place,Seafood Restaurant,Food Truck,Southern / Soul Food Restaurant,Steakhouse,French Restaurant,Diner,Donut Shop,Italian Restaurant,Japanese Restaurant,Burger Joint,Fried Chicken Joint,New American Restaurant
131,"Jersey City, New Jersey",Pizza Place,Italian Restaurant,Bakery,Café,Sushi Restaurant,Sandwich Place,Mediterranean Restaurant,American Restaurant,New American Restaurant,Thai Restaurant,Japanese Restaurant,Chinese Restaurant,Seafood Restaurant,Deli / Bodega,Greek Restaurant,Bagel Shop,Food Court,Breakfast Spot,Vegetarian / Vegan Restaurant,Udon Restaurant,Fried Chicken Joint,Mexican Restaurant,Caribbean Restaurant,Noodle House,Ramen Restaurant
132,"Joliet, Illinois",American Restaurant,Breakfast Spot,Hot Dog Joint,Mexican Restaurant,Pizza Place,Italian Restaurant,Sandwich Place,Burger Joint,BBQ Joint,Bakery,Seafood Restaurant,Sushi Restaurant,Café,Burrito Place,Tapas Restaurant,Fast Food Restaurant,Middle Eastern Restaurant,Chinese Restaurant,Japanese Restaurant,Gastropub,German Restaurant,Greek Restaurant,Indian Restaurant,Wings Joint,Deli / Bodega
133,"Jurupa Valley, California",Mexican Restaurant,Pizza Place,American Restaurant,Sandwich Place,Bakery,Burger Joint,Mediterranean Restaurant,Fast Food Restaurant,Breakfast Spot,Korean Restaurant,Café,BBQ Joint,Gastropub,Thai Restaurant,Japanese Restaurant,Steakhouse,Sushi Restaurant,Taco Place,Italian Restaurant,Hot Dog Joint,German Restaurant,Greek Restaurant,Peruvian Restaurant,Donut Shop,South American Restaurant
134,"Kansas City, Kansas",American Restaurant,Pizza Place,Italian Restaurant,Mexican Restaurant,BBQ Joint,Sandwich Place,Steakhouse,Breakfast Spot,Seafood Restaurant,Gastropub,Sushi Restaurant,Bakery,Cajun / Creole Restaurant,Tapas Restaurant,French Restaurant,New American Restaurant,Burger Joint,Ethiopian Restaurant,Scandinavian Restaurant,Salvadoran Restaurant,Deli / Bodega,Chinese Restaurant,Café,Burrito Place,Comfort Food Restaurant
135,"Kansas City, Missouri",American Restaurant,Italian Restaurant,Mexican Restaurant,Pizza Place,Sushi Restaurant,Breakfast Spot,BBQ Joint,Seafood Restaurant,New American Restaurant,Sandwich Place,Gastropub,French Restaurant,Steakhouse,Tapas Restaurant,Bakery,Donut Shop,Cajun / Creole Restaurant,Mediterranean Restaurant,Comfort Food Restaurant,Chinese Restaurant,Café,Deli / Bodega,Middle Eastern Restaurant,Ethiopian Restaurant,Scandinavian Restaurant
136,"Kenosha, Wisconsin",Pizza Place,Mexican Restaurant,American Restaurant,Bakery,Hot Dog Joint,Breakfast Spot,Italian Restaurant,Sushi Restaurant,Diner,Café,Steakhouse,Deli / Bodega,Sandwich Place,Fast Food Restaurant,Chinese Restaurant,Seafood Restaurant,Fried Chicken Joint,Donut Shop,Mediterranean Restaurant,Burger Joint,BBQ Joint,Taco Place,Greek Restaurant,Asian Restaurant,Tapas Restaurant
137,"Kent, Washington",Vietnamese Restaurant,Pizza Place,Mexican Restaurant,Italian Restaurant,Dumpling Restaurant,Sandwich Place,Bakery,Steakhouse,Seafood Restaurant,Diner,Café,Thai Restaurant,Japanese Restaurant,Burger Joint,Mediterranean Restaurant,Sushi Restaurant,Breakfast Spot,New American Restaurant,Food Truck,Indian Restaurant,Asian Restaurant,BBQ Joint,Taco Place,Ethiopian Restaurant,Spanish Restaurant
138,"Killeen, Texas",Burger Joint,Fast Food Restaurant,Mexican Restaurant,Sandwich Place,Deli / Bodega,Italian Restaurant,Wings Joint,Pizza Place,American Restaurant,Steakhouse,German Restaurant,Thai Restaurant,Fried Chicken Joint,Chinese Restaurant,Café,BBQ Joint,Diner,Donut Shop,Cajun / Creole Restaurant,Food Court,Burrito Place,Sushi Restaurant,Korean Restaurant,Breakfast Spot,Japanese Restaurant
139,"Knoxville, Tennessee",American Restaurant,Mexican Restaurant,Pizza Place,Fast Food Restaurant,Sandwich Place,Steakhouse,Chinese Restaurant,BBQ Joint,Bakery,Burger Joint,New American Restaurant,Breakfast Spot,Italian Restaurant,Sushi Restaurant,Donut Shop,Southern / Soul Food Restaurant,Middle Eastern Restaurant,Seafood Restaurant,Gastropub,Taco Place,Asian Restaurant,Thai Restaurant,Vietnamese Restaurant,Fried Chicken Joint,Brazilian Restaurant
140,"Lafayette, Louisiana",Cajun / Creole Restaurant,Fast Food Restaurant,Seafood Restaurant,Burger Joint,American Restaurant,Café,Pizza Place,Sandwich Place,Mexican Restaurant,Italian Restaurant,Greek Restaurant,Breakfast Spot,Fried Chicken Joint,Thai Restaurant,Bakery,Sushi Restaurant,Steakhouse,Donut Shop,Mediterranean Restaurant,Japanese Restaurant,Deli / Bodega,Diner,Chinese Restaurant,Comfort Food Restaurant,Cuban Restaurant
141,"Lakeland, Florida",Pizza Place,American Restaurant,Steakhouse,Mexican Restaurant,Thai Restaurant,Burger Joint,Italian Restaurant,Seafood Restaurant,Bakery,Café,Fast Food Restaurant,BBQ Joint,Donut Shop,Food Truck,Cajun / Creole Restaurant,Cuban Restaurant,Tex-Mex Restaurant,Greek Restaurant,Japanese Restaurant,Hot Dog Joint,Diner,Deli / Bodega,Asian Restaurant,Sushi Restaurant,German Restaurant
142,"Lakewood, Colorado",American Restaurant,Mexican Restaurant,Pizza Place,Italian Restaurant,Sandwich Place,Breakfast Spot,New American Restaurant,Burger Joint,Sushi Restaurant,Seafood Restaurant,Vietnamese Restaurant,Steakhouse,Taco Place,Wings Joint,Cajun / Creole Restaurant,Mediterranean Restaurant,Diner,Food Court,Japanese Restaurant,French Restaurant,Polish Restaurant,Indian Restaurant,Comfort Food Restaurant,Hot Dog Joint,Chinese Restaurant
143,"Lakewood, New Jersey",Pizza Place,Italian Restaurant,Breakfast Spot,Seafood Restaurant,American Restaurant,Donut Shop,Sandwich Place,Café,Taco Place,Bakery,Japanese Restaurant,Mexican Restaurant,Bagel Shop,Fast Food Restaurant,Diner,Sushi Restaurant,Deli / Bodega,BBQ Joint,Gluten-free Restaurant,Greek Restaurant,Indian Restaurant,Chinese Restaurant,Asian Restaurant,Caribbean Restaurant,Cajun / Creole Restaurant
144,"Lancaster, California",Mexican Restaurant,Fast Food Restaurant,American Restaurant,Burger Joint,Pizza Place,Sushi Restaurant,Sandwich Place,Café,Steakhouse,Italian Restaurant,Seafood Restaurant,Bakery,Diner,Chinese Restaurant,Breakfast Spot,Wings Joint,Fried Chicken Joint,Thai Restaurant,French Restaurant,Cajun / Creole Restaurant,Donut Shop,Donburi Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Mediterranean Restaurant
145,"Lansing, Michigan",Pizza Place,American Restaurant,Sushi Restaurant,Mexican Restaurant,Italian Restaurant,Sandwich Place,Middle Eastern Restaurant,BBQ Joint,Steakhouse,Thai Restaurant,Fast Food Restaurant,Chinese Restaurant,Seafood Restaurant,Greek Restaurant,Diner,Burger Joint,Breakfast Spot,Bakery,Creperie,Cajun / Creole Restaurant,Café,Food Truck,Fried Chicken Joint,Bistro,Malay Restaurant
146,"Laredo, Texas",Mexican Restaurant,Burger Joint,Fast Food Restaurant,Taco Place,Pizza Place,Seafood Restaurant,Steakhouse,Sushi Restaurant,Wings Joint,Café,Comfort Food Restaurant,BBQ Joint,American Restaurant,Fried Chicken Joint,Sandwich Place,Noodle House,New American Restaurant,Mongolian Restaurant,Chinese Restaurant,Snack Place,Soup Place,Donut Shop,Buffet,Food,Tex-Mex Restaurant
147,"Las Cruces, New Mexico",Mexican Restaurant,Burger Joint,American Restaurant,Fast Food Restaurant,Steakhouse,Pizza Place,Italian Restaurant,Deli / Bodega,Donut Shop,Greek Restaurant,Breakfast Spot,Sushi Restaurant,Spanish Restaurant,Chinese Restaurant,Seafood Restaurant,Café,French Restaurant,Buffet,Sandwich Place,Wings Joint,Fried Chicken Joint,Bakery,Truck Stop,BBQ Joint,Thai Restaurant
148,"Las Vegas, Nevada",American Restaurant,Sushi Restaurant,Japanese Restaurant,Steakhouse,Breakfast Spot,Mexican Restaurant,Pizza Place,Seafood Restaurant,Sandwich Place,Italian Restaurant,Thai Restaurant,French Restaurant,Café,Vietnamese Restaurant,Noodle House,Taco Place,Fast Food Restaurant,Cajun / Creole Restaurant,Burger Joint,Diner,Snack Place,Korean Restaurant,Cuban Restaurant,English Restaurant,Asian Restaurant
149,"League City, Texas",Mexican Restaurant,Pizza Place,Seafood Restaurant,BBQ Joint,American Restaurant,Vietnamese Restaurant,Sandwich Place,Steakhouse,Cajun / Creole Restaurant,Italian Restaurant,Fast Food Restaurant,Food Truck,Burger Joint,Sushi Restaurant,Greek Restaurant,Taco Place,Thai Restaurant,Diner,Gastropub,Deli / Bodega,Donut Shop,Ramen Restaurant,Mediterranean Restaurant,Chinese Restaurant,Noodle House
150,"Lewisville, Texas",Mexican Restaurant,Pizza Place,BBQ Joint,Steakhouse,Italian Restaurant,Taco Place,Seafood Restaurant,Burger Joint,Sushi Restaurant,American Restaurant,Breakfast Spot,Bakery,Southern / Soul Food Restaurant,New American Restaurant,Fast Food Restaurant,Greek Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Café,Chinese Restaurant,Food Court,Korean Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Brazilian Restaurant
151,"Lexington, Kentucky",American Restaurant,Pizza Place,Mexican Restaurant,Steakhouse,Italian Restaurant,Burger Joint,Breakfast Spot,Café,Fast Food Restaurant,Fried Chicken Joint,Taco Place,Diner,Seafood Restaurant,Korean Restaurant,Mediterranean Restaurant,BBQ Joint,French Restaurant,Bakery,Cuban Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,Salad Place,Latin American Restaurant,Sandwich Place,Chinese Restaurant
152,"Lincoln, Nebraska",American Restaurant,Sandwich Place,Chinese Restaurant,Mexican Restaurant,Pizza Place,Bakery,Café,Italian Restaurant,Steakhouse,Fried Chicken Joint,BBQ Joint,Indian Restaurant,Fast Food Restaurant,Burger Joint,Bagel Shop,Asian Restaurant,Diner,Donut Shop,Noodle House,French Restaurant,Irish Pub,Falafel Restaurant,Deli / Bodega,Middle Eastern Restaurant,Seafood Restaurant
153,"Little Rock, Arkansas",Mexican Restaurant,American Restaurant,Pizza Place,Taco Place,Burger Joint,Seafood Restaurant,Cajun / Creole Restaurant,Chinese Restaurant,Southern / Soul Food Restaurant,Fast Food Restaurant,BBQ Joint,Steakhouse,Bakery,Italian Restaurant,Mediterranean Restaurant,Sushi Restaurant,Japanese Restaurant,Fried Chicken Joint,Indian Restaurant,Asian Restaurant,German Restaurant,Diner,Donut Shop,Greek Restaurant,Café
154,"Long Beach, California",Pizza Place,Italian Restaurant,Bakery,Mexican Restaurant,Sandwich Place,Seafood Restaurant,American Restaurant,Burger Joint,Taco Place,Korean Restaurant,Sushi Restaurant,Deli / Bodega,Mediterranean Restaurant,New American Restaurant,Donut Shop,Fast Food Restaurant,Steakhouse,Food Court,Fried Chicken Joint,Asian Restaurant,Filipino Restaurant,Falafel Restaurant,Cajun / Creole Restaurant,Diner,Latin American Restaurant
155,"Los Angeles, California",Sushi Restaurant,American Restaurant,Italian Restaurant,Café,Mexican Restaurant,New American Restaurant,Pizza Place,Japanese Restaurant,Steakhouse,Korean Restaurant,Sandwich Place,French Restaurant,Seafood Restaurant,Vegetarian / Vegan Restaurant,BBQ Joint,Poke Place,Salad Place,Food Truck,Australian Restaurant,Thai Restaurant,Fast Food Restaurant,Chinese Restaurant,Caribbean Restaurant,Cajun / Creole Restaurant,Burger Joint
156,"Louisville, Kentucky",Pizza Place,Breakfast Spot,Bakery,Mexican Restaurant,BBQ Joint,Deli / Bodega,American Restaurant,Steakhouse,Fast Food Restaurant,Sandwich Place,Fried Chicken Joint,Sushi Restaurant,Cuban Restaurant,Burger Joint,New American Restaurant,Seafood Restaurant,Latin American Restaurant,Gastropub,Indian Restaurant,Chinese Restaurant,Japanese Restaurant,Italian Restaurant,Vietnamese Restaurant,Donut Shop,Hot Dog Joint
157,"Lowell, Massachusetts",Bakery,Café,American Restaurant,Italian Restaurant,Vegetarian / Vegan Restaurant,Mexican Restaurant,Sandwich Place,Pizza Place,New American Restaurant,Diner,Donut Shop,Breakfast Spot,Japanese Restaurant,Bagel Shop,Deli / Bodega,Gastropub,Steakhouse,Dumpling Restaurant,Seafood Restaurant,Peruvian Restaurant,Comfort Food Restaurant,Wings Joint,Meze Restaurant,Fast Food Restaurant,Korean Restaurant
158,"Lubbock, Texas",Mexican Restaurant,Burger Joint,Sandwich Place,American Restaurant,Fast Food Restaurant,Steakhouse,Pizza Place,Fried Chicken Joint,Italian Restaurant,Café,Sushi Restaurant,Thai Restaurant,BBQ Joint,Deli / Bodega,Donut Shop,Chinese Restaurant,Cajun / Creole Restaurant,French Restaurant,Diner,Korean Restaurant,Hot Dog Joint,Breakfast Spot,Bakery,Asian Restaurant,Greek Restaurant
159,"Macon, Georgia",Sandwich Place,Mexican Restaurant,American Restaurant,Fast Food Restaurant,BBQ Joint,Pizza Place,Italian Restaurant,Hot Dog Joint,Greek Restaurant,Donut Shop,Steakhouse,Japanese Restaurant,Breakfast Spot,Bakery,Fried Chicken Joint,Burger Joint,Seafood Restaurant,Asian Restaurant,Southern / Soul Food Restaurant,Korean Restaurant,Buffet,Thai Restaurant,Gastropub,Taco Place,Cajun / Creole Restaurant
160,"Madison, Wisconsin",Pizza Place,American Restaurant,Café,Breakfast Spot,Bakery,Gastropub,New American Restaurant,Indian Restaurant,Italian Restaurant,Burger Joint,Noodle House,Steakhouse,Deli / Bodega,Diner,French Restaurant,Sushi Restaurant,Thai Restaurant,Vietnamese Restaurant,Asian Restaurant,Mexican Restaurant,Latin American Restaurant,Salad Place,Sandwich Place,Pelmeni House,Dim Sum Restaurant
161,"Manchester, New Hampshire",American Restaurant,Café,Mexican Restaurant,Steakhouse,Diner,Sushi Restaurant,Seafood Restaurant,Breakfast Spot,Pizza Place,Italian Restaurant,Bakery,Bagel Shop,Sandwich Place,BBQ Joint,Asian Restaurant,New American Restaurant,Deli / Bodega,Greek Restaurant,Japanese Restaurant,Soup Place,Chinese Restaurant,Burrito Place,Burger Joint,Bistro,Vietnamese Restaurant
162,"McAllen, Texas",Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Bakery,Breakfast Spot,BBQ Joint,Steakhouse,Fast Food Restaurant,Café,Deli / Bodega,Sushi Restaurant,Seafood Restaurant,Comfort Food Restaurant,Mediterranean Restaurant,Italian Restaurant,Cajun / Creole Restaurant,Fried Chicken Joint,Snack Place,Wings Joint,Latin American Restaurant,Japanese Restaurant,Diner,Asian Restaurant,Sandwich Place
163,"McKinney, Texas",BBQ Joint,American Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Steakhouse,Sushi Restaurant,Mexican Restaurant,Bakery,Taco Place,Fast Food Restaurant,Seafood Restaurant,Southern / Soul Food Restaurant,Breakfast Spot,Greek Restaurant,New American Restaurant,Thai Restaurant,Chinese Restaurant,Café,Japanese Restaurant,Food Court,Latin American Restaurant,Bistro,Asian Restaurant,Brazilian Restaurant
164,"Memphis, Tennessee",American Restaurant,Burger Joint,BBQ Joint,Pizza Place,Mexican Restaurant,Café,Italian Restaurant,Breakfast Spot,New American Restaurant,Seafood Restaurant,Fried Chicken Joint,Deli / Bodega,Southern / Soul Food Restaurant,Fast Food Restaurant,Cajun / Creole Restaurant,Tapas Restaurant,Donut Shop,Middle Eastern Restaurant,Sushi Restaurant,Bakery,Japanese Restaurant,Sandwich Place,Steakhouse,Thai Restaurant,Diner
165,"Meridian, Idaho",Pizza Place,Italian Restaurant,Mexican Restaurant,Breakfast Spot,American Restaurant,Burger Joint,Thai Restaurant,Greek Restaurant,Sandwich Place,Steakhouse,BBQ Joint,Diner,Deli / Bodega,Indian Restaurant,Bakery,Bagel Shop,Fast Food Restaurant,Asian Restaurant,Salad Place,Latin American Restaurant,Cuban Restaurant,Fondue Restaurant,Seafood Restaurant,Donut Shop,New American Restaurant
166,"Mesa, Arizona",Pizza Place,Sandwich Place,American Restaurant,Mexican Restaurant,Italian Restaurant,Breakfast Spot,Burger Joint,Mediterranean Restaurant,Sushi Restaurant,Café,BBQ Joint,Korean Restaurant,Gastropub,Japanese Restaurant,German Restaurant,New American Restaurant,Seafood Restaurant,Chinese Restaurant,Deli / Bodega,Middle Eastern Restaurant,Burrito Place,Soup Place,South American Restaurant,Diner,Greek Restaurant
167,"Mesquite, Texas",Pizza Place,New American Restaurant,Mexican Restaurant,Burger Joint,Seafood Restaurant,Steakhouse,Italian Restaurant,American Restaurant,Fast Food Restaurant,Taco Place,Japanese Restaurant,Fried Chicken Joint,Thai Restaurant,BBQ Joint,Café,Salad Place,Southern / Soul Food Restaurant,Greek Restaurant,Gastropub,Tex-Mex Restaurant,Vegetarian / Vegan Restaurant,Bakery,Donut Shop,Diner,Latin American Restaurant
168,"Miami Gardens, Florida",Italian Restaurant,Mexican Restaurant,Pizza Place,Seafood Restaurant,American Restaurant,Sandwich Place,Food Truck,Peruvian Restaurant,Fast Food Restaurant,Café,Vegetarian / Vegan Restaurant,Donut Shop,Japanese Restaurant,Latin American Restaurant,Bakery,Argentinian Restaurant,Taco Place,Gastropub,Sushi Restaurant,Steakhouse,Cuban Restaurant,Spanish Restaurant,Chinese Restaurant,Burger Joint,Middle Eastern Restaurant
169,"Miami, Florida",Seafood Restaurant,American Restaurant,Italian Restaurant,Bakery,Mexican Restaurant,Peruvian Restaurant,Pizza Place,Argentinian Restaurant,Café,Japanese Restaurant,Spanish Restaurant,Cuban Restaurant,French Restaurant,Sandwich Place,South American Restaurant,New American Restaurant,Gastropub,Vegetarian / Vegan Restaurant,Asian Restaurant,Taco Place,Tapas Restaurant,Latin American Restaurant,Food Truck,Donut Shop,Mediterranean Restaurant
170,"Midland, Texas",Mexican Restaurant,Burger Joint,Deli / Bodega,Fast Food Restaurant,American Restaurant,Sandwich Place,Steakhouse,Chinese Restaurant,Japanese Restaurant,Bakery,Italian Restaurant,BBQ Joint,Café,Seafood Restaurant,Sushi Restaurant,Pizza Place,Food Truck,Donut Shop,Asian Restaurant,Vegetarian / Vegan Restaurant,Tex-Mex Restaurant,Thai Restaurant,Taco Place,Fish & Chips Shop,Eastern European Restaurant
171,"Milwaukee, Wisconsin",Pizza Place,American Restaurant,Italian Restaurant,Café,Mexican Restaurant,Sandwich Place,Bakery,Burger Joint,Breakfast Spot,Seafood Restaurant,Steakhouse,Deli / Bodega,BBQ Joint,Thai Restaurant,Tapas Restaurant,Vegetarian / Vegan Restaurant,French Restaurant,New American Restaurant,Gastropub,Mediterranean Restaurant,Southern / Soul Food Restaurant,Cajun / Creole Restaurant,Peruvian Restaurant,Greek Restaurant,Fast Food Restaurant
172,"Minneapolis, Minnesota",Pizza Place,American Restaurant,Italian Restaurant,New American Restaurant,Steakhouse,Mexican Restaurant,Vietnamese Restaurant,Bakery,Breakfast Spot,Sushi Restaurant,Food Truck,Scandinavian Restaurant,Burger Joint,Diner,Eastern European Restaurant,Asian Restaurant,Middle Eastern Restaurant,Café,Greek Restaurant,Caribbean Restaurant,Churrascaria,Food Court,Latin American Restaurant,Cuban Restaurant,Donut Shop
173,"Miramar, Florida",Italian Restaurant,Pizza Place,Mexican Restaurant,Seafood Restaurant,American Restaurant,Sandwich Place,Café,Deli / Bodega,Steakhouse,Food Truck,Donut Shop,Cuban Restaurant,Bakery,Fast Food Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Argentinian Restaurant,Burger Joint,Vegetarian / Vegan Restaurant,Food,Latin American Restaurant,Mediterranean Restaurant,French Restaurant,New American Restaurant,Peruvian Restaurant
174,"Mobile, Alabama",Seafood Restaurant,Mexican Restaurant,Sandwich Place,Fried Chicken Joint,American Restaurant,Italian Restaurant,Pizza Place,Chinese Restaurant,Southern / Soul Food Restaurant,Donut Shop,Deli / Bodega,Fast Food Restaurant,Burger Joint,BBQ Joint,Café,Caribbean Restaurant,Mediterranean Restaurant,Bakery,Indian Restaurant,Irish Pub,Steakhouse,Sushi Restaurant,Greek Restaurant,Breakfast Spot,Diner
175,"Modesto, California",Mexican Restaurant,American Restaurant,Burger Joint,Sushi Restaurant,Italian Restaurant,Pizza Place,Chinese Restaurant,Steakhouse,Breakfast Spot,Sandwich Place,Bakery,BBQ Joint,Fast Food Restaurant,Café,Middle Eastern Restaurant,Thai Restaurant,Gastropub,Asian Restaurant,New American Restaurant,Donut Shop,Diner,Irish Pub,Mediterranean Restaurant,Food,Fried Chicken Joint
176,"Montgomery, Alabama",Mexican Restaurant,American Restaurant,Pizza Place,Deli / Bodega,Seafood Restaurant,Thai Restaurant,Fast Food Restaurant,Fried Chicken Joint,Italian Restaurant,Burger Joint,BBQ Joint,Sandwich Place,Bakery,Mediterranean Restaurant,Steakhouse,Southern / Soul Food Restaurant,Chinese Restaurant,Donut Shop,Café,Sushi Restaurant,Wings Joint,Breakfast Spot,Japanese Restaurant,Gastropub,Vietnamese Restaurant
177,"Moreno Valley, California",Mexican Restaurant,Burger Joint,Pizza Place,American Restaurant,Sandwich Place,Italian Restaurant,Thai Restaurant,Sushi Restaurant,Fast Food Restaurant,Breakfast Spot,Bakery,Steakhouse,Hot Dog Joint,Café,BBQ Joint,Gastropub,Indian Restaurant,Asian Restaurant,Taco Place,Vietnamese Restaurant,German Restaurant,Tex-Mex Restaurant,Southern / Soul Food Restaurant,Bagel Shop,Deli / Bodega
178,"Murfreesboro, Tennessee",American Restaurant,Pizza Place,Mexican Restaurant,Steakhouse,BBQ Joint,Breakfast Spot,Sushi Restaurant,Italian Restaurant,Fast Food Restaurant,Southern / Soul Food Restaurant,Greek Restaurant,Burger Joint,Burrito Place,Thai Restaurant,Sandwich Place,Japanese Restaurant,Gastropub,Seafood Restaurant,Donut Shop,Asian Restaurant,Chinese Restaurant,Fried Chicken Joint,Café,Deli / Bodega,Cajun / Creole Restaurant
